date,value
1999-10-01,6467.039
2000-01-01,6618.217
2000-04-01,6711.911
2000-07-01,6819.984
2000-10-01,6918.606
2001-01-01,6995.298
2001-04-01,7042.25
2001-07-01,7070.337
2001-10-01,7187.32
2002-01-01,7217.715
2002-04-01,7307.955
2002-07-01,7397.135
2002-10-01,7472.958
2003-01-01,7567.16
2003-04-01,7661.458
2003-07-01,7820.927
2003-10-01,7913.453
2004-01-01,8048.777
2004-04-01,8147.108
2004-07-01,8283.335
2004-10-01,8448.621
2005-01-01,8551.735
2005-04-01,8701.145
2005-07-01,8868.089
2005-10-01,8955.295
2006-01-01,9100.153
2006-04-01,9227.649
2006-07-01,9353.772
2006-10-01,9427.368
2007-01-01,9572.138
2007-04-01,9678.713
2007-07-01,9798.383
2007-10-01,9937.14
2008-01-01,10004.445
2008-04-01,10129.869
2008-07-01,10159.078
2008-10-01,9906.942
2009-01-01,9814.969
2009-04-01,9805.502
2009-07-01,9939.406
2009-10-01,10004.996
2010-01-01,10101.822
2010-04-01,10208.145
2010-07-01,10300.754
2010-10-01,10430.304
2011-01-01,10558.195
2011-04-01,10673.018
2011-07-01,10755.029
2011-10-01,10809.186
2012-01-01,10959.301
2012-04-01,11005.055
2012-07-01,11059.393
2012-10-01,11165.703
2013-01-01,11277.664
2013-04-01,11315.681
2013-07-01,11408.359
2013-10-01,11551.229
2014-01-01,11646.001
2014-04-01,11810.451
2014-07-01,11959.79
2014-10-01,12081.561
2015-01-01,12119.763
2015-04-01,12264.14
2015-07-01,12382.494
2015-10-01,12423.353
2016-01-01,12523.156
2016-04-01,12665.124
2016-07-01,12797.126
2016-10-01,12921.989
2017-01-01,13097.306
2017-04-01,13188.73
2017-07-01,13325.065
2017-10-01,13551.401
2018-01-01,13745.074
2018-04-01,13891.294
2018-07-01,14002.199
2018-10-01,14099.199
2019-01-01,14150.191
2019-04-01,14350.662
2019-07-01,14548.282
2019-10-01,14701.038
2020-01-01,14503.098
2020-04-01,13193.297
2020-07-01,14479.206
2020-10-01,14749.812
2021-01-01,15255.411
2021-04-01,16027.569
2021-07-01,16380.73
2021-10-01,16815.018
2022-01-01,17148.997
2022-04-01,17606.575
2022-07-01,17893.122
2022-10-01,18111.361
2023-01-01,18487.025
2023-04-01,18693.128
2023-07-01,18961.848
2023-10-01,19190.599
2024-01-01,19443.834
2024-04-01,19756.093
2024-07-01,20032.818
2024-10-01,20351.292
2025-01-01,20554.984
2025-04-01,20789.926
2025-07-01,21111.166
2025-10-01,21363.352
