cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2026-20122,5.4,MEDIUM,NA,2026-04-20
CVE-2026-20133,6.5,MEDIUM,NA,2026-04-20
CVE-2025-2749,7.2,HIGH,NA,2026-04-20
CVE-2023-27351,7.5,HIGH,NA,2026-04-20
CVE-2025-48700,6.1,MEDIUM,NA,2026-04-20
CVE-2026-20128,7.5,HIGH,NA,2026-04-20
CVE-2025-32975,10,CRITICAL,NA,2026-04-20
CVE-2024-27199,7.3,HIGH,NA,2026-04-20
CVE-2026-34197,8.8,HIGH,NA,2026-04-20
CVE-2009-0238,8.8,HIGH,9.3,2026-04-20
CVE-2026-32201,NA,NA,NA,2026-04-20
CVE-2012-1854,NA,NA,NA,2026-04-20
CVE-2025-60710,NA,NA,NA,2026-04-20
CVE-2023-21529,NA,NA,NA,2026-04-20
CVE-2023-36424,NA,NA,NA,2026-04-20
CVE-2020-9715,NA,NA,NA,2026-04-20
CVE-2026-21643,NA,NA,NA,2026-04-20
CVE-2026-34621,NA,NA,NA,2026-04-20
CVE-2026-1340,NA,NA,NA,2026-04-20
CVE-2026-35616,NA,NA,NA,2026-04-20
CVE-2026-3502,NA,NA,NA,2026-04-20
CVE-2026-5281,NA,NA,NA,2026-04-20
CVE-2026-3055,NA,NA,NA,2026-04-20
CVE-2025-53521,NA,NA,NA,2026-04-20
CVE-2026-33634,NA,NA,NA,2026-04-20
CVE-2026-33017,NA,NA,NA,2026-04-20
CVE-2025-32432,NA,NA,NA,2026-04-20
CVE-2025-54068,NA,NA,NA,2026-04-20
CVE-2025-43510,NA,NA,NA,2026-04-20
CVE-2025-43520,NA,NA,NA,2026-04-20
CVE-2025-31277,NA,NA,NA,2026-04-20
CVE-2026-20131,NA,NA,NA,2026-04-20
CVE-2025-66376,NA,NA,NA,2026-04-20
CVE-2026-20963,NA,NA,NA,2026-04-20
CVE-2025-47813,4.3,MEDIUM,NA,2026-04-20
CVE-2026-3910,NA,NA,NA,2026-04-20
CVE-2026-3909,NA,NA,NA,2026-04-20
CVE-2025-68613,NA,NA,NA,2026-04-20
CVE-2021-22054,NA,NA,NA,2026-04-20
CVE-2025-26399,9.8,CRITICAL,NA,2026-04-20
CVE-2026-1603,NA,NA,NA,2026-04-20
CVE-2017-7921,NA,NA,NA,2026-04-20
CVE-2021-22681,9.8,CRITICAL,7.5,2026-04-20
CVE-2023-43000,NA,NA,NA,2026-04-20
CVE-2021-30952,NA,NA,NA,2026-04-20
CVE-2023-41974,NA,NA,NA,2026-04-20
CVE-2026-22719,NA,NA,NA,2026-04-20
CVE-2026-21385,NA,NA,NA,2026-04-20
CVE-2022-20775,NA,NA,NA,2026-04-20
CVE-2026-20127,10,CRITICAL,NA,2026-04-20
CVE-2026-25108,NA,NA,NA,2026-04-20
CVE-2025-49113,NA,NA,NA,2026-04-20
CVE-2025-68461,NA,NA,NA,2026-04-20
CVE-2021-22175,NA,NA,NA,2026-04-20
CVE-2026-22769,NA,NA,NA,2026-04-20
CVE-2020-7796,NA,NA,NA,2026-04-20
CVE-2024-7694,7.2,HIGH,NA,2026-04-20
