################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-04-22 01:20:50 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-04-22 01:20:50", "1795840", "goldfi-sh4.basis-embankment.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 01:25:08", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 01:16:07", "1795839", "deep-ocean3.basis-embankment.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 01:19:36", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 01:10:08", "1795838", "dark-ni-ght2.basis-embankment.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 01:14:14", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 01:06:23", "1795837", "bright-sk-y1.basis-embankment.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 01:08:47", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:53:42", "1795835", "cool-stone5.jemannik5helma.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:56:44", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:48:21", "1795834", "warm-m-ilk4.jemannik5helma.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:51:26", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:42:52", "1795833", "hottea3.jemannik5helma.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:38:47", "1795832", "sweet-bun2.jemannik5helma.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:40:26", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:27:12", "1795830", "redbook6.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:29:11", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:20:35", "1795829", "coldwa-ter5.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:23:55", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:15:55", "1795828", "new-vi-ew4.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:17:59", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:09:42", "1795827", "bigwall3.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:12:38", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-22 00:06:19", "1795824", "www.koemau.nl", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-04-22 00:04:17", "1795823", "soft-cha-ir2.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:06:26", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:59:06", "1795822", "open-wind1.aperitif-form.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-22 00:01:09", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:49:45", "1795818", "faststep5.mi5demeanwork.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-21 23:50:04", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:48:25", "1795817", "www.gymmanufacturer.com", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-04-21 23:36:56", "1795813", "smalllamp3.mi5demeanwork.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-21 23:38:51", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:33:09", "1795811", "www.dallage-var.com", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-04-21 23:31:51", "1795810", "glassb-otl2.mi5demeanwork.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-21 23:32:58", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:26:16", "1795806", "home-tray1.mi5demeanwork.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-21 23:27:50", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-21 23:23:01", "1795804", "www.bol-perso.com", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-04-21 23:15:20", "1795802", "www.angulovidrosealuminios.com.br", "domain", "payload_delivery", "win.strelastealer", "None", "StrelaStealer", "", "100", "True", "None", "StrelaStealer", "0", "threatcat_ch"
"2026-04-21 23:15:08", "1795800", "https://etfo-yr-ot.ca/", "url", "payload_delivery", "win.vidar", "None", "Vidar", "", "75", "True", "None", "ClickFix,compromised,EtherHiding,Polygon,Vidar,WordPress", "1", "m_govcert_ch"
"2026-04-21 23:15:08", "1795801", "https://nycr-dev.gc2.cdn4.net/", "url", "payload_delivery", "win.vidar", "None", "Vidar", "", "75", "True", "None", "ClickFix,compromised,EtherHiding,Polygon,Vidar,WordPress", "1", "m_govcert_ch"
"2026-04-21 23:15:07", "1795799", "https://baanyamu.com/", "url", "payload_delivery", "win.vidar", "None", "Vidar", "", "75", "True", "None", "ClickFix,compromised,EtherHiding,Polygon,Vidar,WordPress", "1", "m_govcert_ch"
"2026-04-21 23:14:18", "1795798", "sig.ceramic.love", "domain", "botnet_cc", "win.vidar", "None", "Vidar", "2026-04-22 01:15:02", "75", "False", "None", "r88vry,Vidar", "0", "abuse_ch"
"2026-04-21 23:14:16", "1795797", "https://sig.ceramic.love/", "url", "botnet_cc", "win.vidar", "None", "Vidar", "2026-04-22 01:14:58", "75", "False", "None", "r88vry,Vidar", "0", "abuse_ch"
