cve,vendor_project,product,vulnerability_name,short_description,date_added,required_action,due_date,in_wild,initial_epss,initial_percentile,initial_date,current_epss,current_percentile,current_date,cvss_v3_base,cvss_v3_severity,cvss_v2_base,epss_delta
CVE-2023-23752,Joomla!,Joomla!,Joomla! Improper Access Control Vulnerability,Joomla! contains an improper access control vulnerability that allows unauthorized access to webservice endpoints.,2024-01-08,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-29,TRUE,0.94511,1,2026-04-20,0.9452,1,2026-04-23,NA,NA,NA,1e-4
CVE-2018-7600,Drupal,Drupal Core,Drupal Core Remote Code Execution Vulnerability,"Drupal Core contains a remote code execution vulnerability that could allow an attacker to exploit multiple attack vectors on a Drupal site, resulting in complete site compromise.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94489,1,2026-04-20,0.94489,1,2026-04-23,NA,NA,NA,0
CVE-2018-1000861,Jenkins,Jenkins Stapler Web Framework,Jenkins Stapler Web Framework Deserialization of Untrusted Data Vulnerability,A code execution vulnerability exists in the Stapler web framework used by Jenkins,2022-02-10,Apply updates per vendor instructions.,2022-08-10,TRUE,0.94485,0.99999,2026-04-20,0.94485,1,2026-04-23,NA,NA,NA,0
CVE-2021-22986,F5,BIG-IP and BIG-IQ Centralized Management,F5 BIG-IP and BIG-IQ Centralized Management iControl REST Remote Code Execution Vulnerability,"F5 BIG-IP and BIG-IQ Centralized Management contain a remote code execution vulnerability in the iControl REST interface that allows unauthenticated attackers with network access to execute system commands, create or delete files, and disable services.",2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.94485,0.99999,2026-04-20,0.94485,0.99999,2026-04-23,NA,NA,NA,0
CVE-2019-0708,Microsoft,Remote Desktop Services,Microsoft Remote Desktop Services Remote Code Execution Vulnerability,"Microsoft Remote Desktop Services, formerly known as Terminal Service, contains an unspecified vulnerability that allows an unauthenticated attacker to connect to the target system using RDP and send specially crafted requests. Successful exploitation allows for remote code execution. The vulnerability is also known under the moniker of BlueKeep.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94454,0.99992,2026-04-20,0.94483,0.99999,2026-04-23,9.8,CRITICAL,10,3e-4
CVE-2017-1000353,Jenkins,Jenkins,Jenkins Remote Code Execution Vulnerability,"Jenkins contains a remote code execution vulnerability. This vulnerability that could allowed attackers to transfer a serialized Java SignedObject object to the remoting-based Jenkins CLI, that would be deserialized using a new ObjectInputStream, bypassing the existing blocklist-based protection mechanism.",2025-10-02,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-23,TRUE,0.94493,1,2026-04-20,0.94482,0.99999,2026-04-23,NA,NA,NA,-1e-4
CVE-2019-3396,Atlassian,Confluence Server and Data Server,Atlassian Confluence Server and Data Center Server-Side Template Injection Vulnerability,Atlassian Confluence Server and Data Center contain a server-side template injection vulnerability that may allow an attacker to achieve path traversal and remote code execution.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94471,0.99998,2026-04-20,0.94471,0.99998,2026-04-23,NA,NA,NA,0
CVE-2019-17558,Apache,Solr,Apache Solr VelocityResponseWriter Plug-In Remote Code Execution Vulnerability,The Apache Solr VelocityResponseWriter plug-in contains an unspecified vulnerability which can allow for remote code execution.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.9447,0.99998,2026-04-20,0.9447,0.99998,2026-04-23,NA,NA,NA,0
CVE-2022-46169,Cacti,Cacti,Cacti Command Injection Vulnerability,Cacti contains a command injection vulnerability that allows an unauthenticated user to execute code.,2023-02-16,Apply updates per vendor instructions.,2023-03-09,TRUE,0.94469,0.99998,2026-04-20,0.94469,0.99998,2026-04-23,NA,NA,NA,0
CVE-2020-1938,Apache,Tomcat,Apache Tomcat Improper Privilege Management Vulnerability,"Apache Tomcat treats Apache JServ Protocol (AJP) connections as having higher trust than, for example, a similar HTTP connection. If such connections are available to an attacker, they can be exploited.",2022-03-03,Apply updates per vendor instructions.,2022-03-17,TRUE,0.94469,0.99997,2026-04-20,0.94469,0.99997,2026-04-23,NA,NA,NA,0
CVE-2024-6670,Progress,WhatsUp Gold,Progress WhatsUp Gold SQL Injection Vulnerability,Progress WhatsUp Gold contains a SQL injection vulnerability that allows an unauthenticated attacker to retrieve the user's encrypted password if the application is configured with only a single user.,2024-09-16,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-07,TRUE,0.94468,0.99997,2026-04-20,0.94468,0.99997,2026-04-23,NA,NA,NA,0
CVE-2019-2725,Oracle,WebLogic Server,"Oracle WebLogic Server, Injection",Injection vulnerability in the Oracle WebLogic Server component of Oracle Fusion Middleware (subcomponent: Web Services).,2022-01-10,Apply updates per vendor instructions.,2022-07-10,TRUE,0.94468,0.99997,2026-04-20,0.94468,0.99997,2026-04-23,NA,NA,NA,0
CVE-2021-22205,GitLab,Community and Enterprise Editions,GitLab Community and Enterprise Editions Remote Code Execution Vulnerability,"GitHub Community and Enterprise Editions that utilize the ability to upload images through GitLab Workhorse are vulnerable to remote code execution. Workhorse passes image file extensions through ExifTool, which improperly validates the image files.",2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.94467,0.99996,2026-04-20,0.94467,0.99997,2026-04-23,10,CRITICAL,7.5,0
CVE-2024-23897,Jenkins,Jenkins Command Line Interface (CLI),Jenkins Command Line Interface (CLI) Path Traversal Vulnerability,"Jenkins Command Line Interface (CLI) contains a path traversal vulnerability that allows attackers limited read access to certain files, which can lead to code execution.",2024-08-19,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-09,TRUE,0.94466,0.99996,2026-04-20,0.94466,0.99996,2026-04-23,NA,NA,NA,0
CVE-2016-10033,PHP,PHPMailer,PHPMailer Command Injection Vulnerability,"PHPMailer contains a command injection vulnerability because it fails to sanitize user-supplied input. Specifically, this issue affects the 'mail()' function of 'class.phpmailer.php' script. An attacker can exploit this issue to execute arbitrary code within the context of the application. Failed exploit attempts will result in a denial-of-service condition.",2025-07-07,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-07-28,TRUE,0.94465,0.99996,2026-04-20,0.94465,0.99996,2026-04-23,NA,NA,NA,0
CVE-2021-44228,Apache,Log4j2,Apache Log4j2 Remote Code Execution Vulnerability,"Apache Log4j2 contains a vulnerability where JNDI features do not protect against attacker-controlled JNDI-related endpoints, allowing for remote code execution.",2021-12-10,"For all affected software assets for which updates exist, the only acceptable remediation actions are: 1) Apply updates; OR 2) remove affected assets from agency networks. Temporary mitigations using one of the measures provided at https://www.cisa.gov/uscert/ed-22-02-apache-log4j-recommended-mitigation-measures are only acceptable until updates are available.",2021-12-24,TRUE,0.94358,0.99962,2026-04-20,0.94465,0.99996,2026-04-23,NA,NA,NA,0.0011
CVE-2014-0160,OpenSSL,OpenSSL,OpenSSL Information Disclosure Vulnerability,"The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets, which allows remote attackers to obtain sensitive information.",2022-05-04,Apply updates per vendor instructions.,2022-05-25,TRUE,0.94464,0.99995,2026-04-20,0.94464,0.99995,2026-04-23,NA,NA,NA,0
CVE-2019-11510,Ivanti,Pulse Connect Secure,Ivanti Pulse Connect Secure Arbitrary File Read Vulnerability,Ivanti Pulse Connect Secure contains an arbitrary file read vulnerability that allows an unauthenticated remote attacker with network access via HTTPS to send a specially crafted URI.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94462,0.99995,2026-04-20,0.94462,0.99995,2026-04-23,10,CRITICAL,7.5,0
CVE-2022-22963,VMware Tanzu,Spring Cloud,VMware Tanzu Spring Cloud Function Remote Code Execution Vulnerability,"When using routing functionality in VMware Tanzu's Spring Cloud Function, it is possible for a user to provide a specially crafted SpEL as a routing-expression that may result in remote code execution and access to local resources.",2022-08-25,Apply updates per vendor instructions.,2022-09-15,TRUE,0.94462,0.99995,2026-04-20,0.94462,0.99995,2026-04-23,NA,NA,NA,0
CVE-2022-22947,VMware,Spring Cloud Gateway,VMware Spring Cloud Gateway Code Injection Vulnerability,"Spring Cloud Gateway applications are vulnerable to a code injection attack when the Gateway Actuator endpoint is enabled, exposed and unsecured.",2022-05-16,Apply updates per vendor instructions.,2022-06-06,TRUE,0.94461,0.99994,2026-04-20,0.94461,0.99994,2026-04-23,10,CRITICAL,6.8,0
CVE-2021-44529,Ivanti,Endpoint Manager Cloud Service Appliance (EPM CSA),Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) Code Injection Vulnerability ,Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) contains a code injection vulnerability that allows an unauthenticated user to execute malicious code with limited permissions (nobody).,2024-03-25,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-04-15,TRUE,0.94461,0.99994,2026-04-20,0.94461,0.99994,2026-04-23,NA,NA,NA,0
CVE-2019-15107,Webmin,Webmin,Webmin Command Injection Vulnerability,An issue was discovered in Webmin. The parameter old in password_change.cgi contains a command injection vulnerability.,2022-03-25,Apply updates per vendor instructions.,2022-04-15,TRUE,0.94461,0.99993,2026-04-20,0.94461,0.99994,2026-04-23,NA,NA,NA,0
CVE-2022-44877,CWP,Control Web Panel,CWP Control Web Panel OS Command Injection Vulnerability,CWP Control Web Panel (formerly CentOS Web Panel) contains an OS command injection vulnerability that allows remote attackers to execute commands via shell metacharacters in the login parameter.,2023-01-17,Apply updates per vendor instructions.,2023-02-07,TRUE,0.94457,0.99993,2026-04-20,0.94457,0.99993,2026-04-23,NA,NA,NA,0
CVE-2021-22005,VMware,vCenter Server,VMware vCenter Server File Upload Vulnerability,VMware vCenter Server contains a file upload vulnerability in the Analytics service that allows a user with network access to port 443 to execute code.,2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.94457,0.99993,2026-04-20,0.94457,0.99993,2026-04-23,NA,NA,NA,0
CVE-2022-1388,F5,BIG-IP,F5 BIG-IP Missing Authentication Vulnerability,"F5 BIG-IP contains a missing authentication in critical function vulnerability which can allow for remote code execution, creation or deletion of files, or disabling services.",2022-05-10,Apply updates per vendor instructions.,2022-05-31,TRUE,0.94456,0.99993,2026-04-20,0.94456,0.99993,2026-04-23,NA,NA,NA,0
CVE-2018-13379,Fortinet,FortiOS,Fortinet FortiOS SSL VPN Path Traversal Vulnerability,Fortinet FortiOS SSL VPN web portal contains a path traversal vulnerability that may allow an unauthenticated attacker to download FortiOS system files through specially crafted HTTP resource requests.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94473,0.99999,2026-04-20,0.94454,0.99992,2026-04-23,NA,NA,NA,-2e-4
CVE-2020-14882,Oracle,WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability,"Oracle WebLogic Server contains an unspecified vulnerability, which is assessed to allow for remote code execution, based on this vulnerability being related to CVE-2020-14750.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94454,0.99992,2026-04-20,0.94454,0.99992,2026-04-23,NA,NA,NA,0
