date,value
1998-09-30,69270
1999-09-30,125610
2000-09-30,236241
2001-09-30,128236
2002-09-30,-157758
2003-09-30,-377585
2004-09-30,-412727
2005-09-30,-318346
2006-09-30,-248181
2007-09-30,-160701
2008-09-30,-458553
2009-09-30,-1412688
2010-09-30,-1294373
2011-09-30,-1299599
2012-09-30,-1076573
2013-09-30,-679775
2014-09-30,-484793
2015-09-30,-441960
2016-09-30,-584650
2017-09-30,-665450
2018-09-30,-779074
2019-09-30,-983588
2020-09-30,-3095653
2021-09-30,-2773594
2022-09-30,-1374171
2023-09-30,-1687467
2024-09-30,-1815377
2025-09-30,-1774684
