date,value
1998-01-01,1.131
1998-02-01,1.082
1998-03-01,1.041
1998-04-01,1.052
1998-05-01,1.092
1998-06-01,1.094
1998-07-01,1.079
1998-08-01,1.052
1998-09-01,1.033
1998-10-01,1.042
1998-11-01,1.028
1998-12-01,0.986
1999-01-01,0.972
1999-02-01,0.955
1999-03-01,0.991
1999-04-01,1.177
1999-05-01,1.178
1999-06-01,1.148
1999-07-01,1.189
1999-08-01,1.255
1999-09-01,1.28
1999-10-01,1.274
1999-11-01,1.264
1999-12-01,1.298
2000-01-01,1.301
2000-02-01,1.369
2000-03-01,1.541
2000-04-01,1.506
2000-05-01,1.498
2000-06-01,1.617
2000-07-01,1.593
2000-08-01,1.51
2000-09-01,1.582
2000-10-01,1.559
2000-11-01,1.555
2000-12-01,1.489
2001-01-01,1.472
2001-02-01,1.484
2001-03-01,1.447
2001-04-01,1.564
2001-05-01,1.729
2001-06-01,1.64
2001-07-01,1.482
2001-08-01,1.427
2001-09-01,1.531
2001-10-01,1.362
2001-11-01,1.263
2001-12-01,1.131
2002-01-01,1.139
2002-02-01,1.13
2002-03-01,1.241
2002-04-01,1.407
2002-05-01,1.421
2002-06-01,1.404
2002-07-01,1.412
2002-08-01,1.423
2002-09-01,1.422
2002-10-01,1.449
2002-11-01,1.448
2002-12-01,1.394
2003-01-01,1.473
2003-02-01,1.641
2003-03-01,1.748
2003-04-01,1.659
2003-05-01,1.542
2003-06-01,1.514
2003-07-01,1.524
2003-08-01,1.628
2003-09-01,1.728
2003-10-01,1.603
2003-11-01,1.535
2003-12-01,1.494
2004-01-01,1.592
2004-02-01,1.672
2004-03-01,1.766
2004-04-01,1.833
2004-05-01,2.009
2004-06-01,2.041
2004-07-01,1.939
2004-08-01,1.898
2004-09-01,1.891
2004-10-01,2.029
2004-11-01,2.01
2004-12-01,1.882
2005-01-01,1.823
2005-02-01,1.918
2005-03-01,2.065
2005-04-01,2.283
2005-05-01,2.216
2005-06-01,2.176
2005-07-01,2.316
2005-08-01,2.506
2005-09-01,2.927
2005-10-01,2.785
2005-11-01,2.343
2005-12-01,2.186
2006-01-01,2.315
2006-02-01,2.31
2006-03-01,2.401
2006-04-01,2.757
2006-05-01,2.947
2006-06-01,2.917
2006-07-01,2.999
2006-08-01,2.985
2006-09-01,2.589
2006-10-01,2.272
2006-11-01,2.241
2006-12-01,2.334
2007-01-01,2.274
2007-02-01,2.285
2007-03-01,2.592
2007-04-01,2.86
2007-05-01,3.13
2007-06-01,3.052
2007-07-01,2.961
2007-08-01,2.782
2007-09-01,2.789
2007-10-01,2.793
2007-11-01,3.069
2007-12-01,3.02
2008-01-01,3.047
2008-02-01,3.033
2008-03-01,3.258
2008-04-01,3.441
2008-05-01,3.764
2008-06-01,4.065
2008-07-01,4.09
2008-08-01,3.786
2008-09-01,3.698
2008-10-01,3.173
2008-11-01,2.151
2008-12-01,1.689
2009-01-01,1.787
2009-02-01,1.928
2009-03-01,1.949
2009-04-01,2.056
