date,value
1999-10-01,1781.74
2000-01-01,1789.895
2000-04-01,1822.524
2000-07-01,1832.078
2000-10-01,1861.253
2001-01-01,1906.253
2001-04-01,1947.731
2001-07-01,1953.408
2001-10-01,1992.742
2002-01-01,2040.01
2002-04-01,2074.482
2002-07-01,2101.256
2002-10-01,2142.232
2003-01-01,2172.01
2003-04-01,2198.793
2003-07-01,2220.432
2003-10-01,2251.164
2004-01-01,2286.594
2004-04-01,2320.682
2004-07-01,2356.371
2004-10-01,2388.847
2005-01-01,2426.138
2005-04-01,2452.246
2005-07-01,2494.438
2005-10-01,2528.432
2006-01-01,2580.086
2006-04-01,2610.565
2006-07-01,2630.28
2006-10-01,2674.454
2007-01-01,2718.491
2007-04-01,2769.958
2007-07-01,2808.718
2007-10-01,2865.057
2008-01-01,2909.64
2008-04-01,2971.642
2008-07-01,3029.032
2008-10-01,3021.826
2009-01-01,3022.047
2009-04-01,3070.452
2009-07-01,3092.058
2009-10-01,3120.796
2010-01-01,3133.819
2010-04-01,3165.768
2010-07-01,3158.301
2010-10-01,3164.317
2011-01-01,3155.768
2011-04-01,3168.261
2011-07-01,3136.922
2011-10-01,3130.765
2012-01-01,3144.024
2012-04-01,3130.438
2012-07-01,3139.112
2012-10-01,3132.308
2013-01-01,3123.454
2013-04-01,3131.143
2013-07-01,3135.192
2013-10-01,3140.517
2014-01-01,3139.06
2014-04-01,3154.366
2014-07-01,3191.749
2014-10-01,3189.253
2015-01-01,3187.915
2015-04-01,3234.067
2015-07-01,3253.554
2015-10-01,3258.142
2016-01-01,3270.141
2016-04-01,3289.566
2016-07-01,3315.171
2016-10-01,3337.245
2017-01-01,3353.096
2017-04-01,3370.444
2017-07-01,3398.886
2017-10-01,3466.137
2018-01-01,3513.876
2018-04-01,3570.715
2018-07-01,3626.086
2018-10-01,3650.847
2019-01-01,3702.934
2019-04-01,3761.243
2019-07-01,3814.837
2019-10-01,3864.968
2020-01-01,3942.036
2020-04-01,4021.699
2020-07-01,4001.844
2020-10-01,4030.804
2021-01-01,4155.388
2021-04-01,4174.293
2021-07-01,4219.865
2021-10-01,4285.062
2022-01-01,4336.227
2022-04-01,4439.375
2022-07-01,4486.473
2022-10-01,4570.552
2023-01-01,4640.498
2023-04-01,4673.36
2023-07-01,4789.733
2023-10-01,4861.013
2024-01-01,4931.777
2024-04-01,4995.15
2024-07-01,5086.922
2024-10-01,5150.725
2025-01-01,5195.517
2025-04-01,5236.97
2025-07-01,5324.402
2025-10-01,5343.513
