date,value
1999-10-01,-301.708
2000-01-01,-356.583
2000-04-01,-362.501
2000-07-01,-393.867
2000-10-01,-411.343
2001-01-01,-402.653
2001-04-01,-364.015
2001-07-01,-370.634
2001-10-01,-369.688
2002-01-01,-386.884
2002-04-01,-428.259
2002-07-01,-447.548
2002-10-01,-496.289
2003-01-01,-525.262
2003-04-01,-519.87
2003-07-01,-518.994
2003-10-01,-523.694
2004-01-01,-565.975
2004-04-01,-617.581
2004-07-01,-652.672
2004-10-01,-700.336
2005-01-01,-696.655
2005-04-01,-707.21
2005-07-01,-750.961
2005-10-01,-804.786
2006-01-01,-790.818
2006-04-01,-794.042
2006-07-01,-823.284
2006-10-01,-737.668
2007-01-01,-739.273
2007-04-01,-745.806
2007-07-01,-728.954
2007-10-01,-729.699
2008-01-01,-771.248
2008-04-01,-776.404
2008-07-01,-787.354
2008-10-01,-628.474
2009-01-01,-420.992
2009-04-01,-358.368
2009-07-01,-423.998
2009-10-01,-473.254
2010-01-01,-509.192
2010-04-01,-542.514
2010-07-01,-553.943
2010-10-01,-523.586
2011-01-01,-568.476
2011-04-01,-581.092
2011-07-01,-567.111
2011-10-01,-601.788
2012-01-01,-602.271
2012-04-01,-565.241
2012-07-01,-523.083
2012-10-01,-515.874
2013-01-01,-499.348
2013-04-01,-498.38
2013-07-01,-482.067
2013-10-01,-434.019
2014-01-01,-510.088
2014-04-01,-505.404
2014-07-01,-489.357
2014-10-01,-530.751
2015-01-01,-526.432
2015-04-01,-509.527
2015-07-01,-538.082
2015-10-01,-523.238
2016-01-01,-511.682
2016-04-01,-489.37
2016-07-01,-481.229
2016-10-01,-530.806
2017-01-01,-533.42
2017-04-01,-553.499
2017-07-01,-531.498
2017-10-01,-554.897
2018-01-01,-576.031
2018-04-01,-543.823
2018-07-01,-618.246
2018-10-01,-634.207
2019-01-01,-592.294
2019-04-01,-617.962
2019-07-01,-585.547
2019-10-01,-513.359
2020-01-01,-501.596
2020-04-01,-526.892
2020-07-01,-687.616
2020-10-01,-758.111
2021-01-01,-789.049
2021-04-01,-825.62
2021-07-01,-873.479
2021-10-01,-908.785
2022-01-01,-1049.17
2022-04-01,-996.17
2022-07-01,-855.6
2022-10-01,-850.616
2023-01-01,-794.917
2023-04-01,-797.486
2023-07-01,-765.535
2023-10-01,-788.044
2024-01-01,-822.478
2024-04-01,-894.37
2024-07-01,-938.325
2024-10-01,-938.666
2025-01-01,-1264.604
2025-04-01,-899.799
2025-07-01,-756.57
2025-10-01,-784.975
2026-01-01,-892.431
