year,quarter,date,debt_trillion,debt_pct_gdp
1999,1,1999-01-01,5.652,60
1999,2,1999-04-01,5.639,59.2
1999,3,1999-07-01,5.656,58.4
1999,4,1999-10-01,5.776,58.3
2000,1,2000-01-01,5.773,57.7
2000,2,2000-04-01,5.686,55.5
2000,3,2000-07-01,5.674,55
2000,4,2000-10-01,5.662,54.3
2001,1,2001-01-01,5.774,55.1
2001,2,2001-04-01,5.727,54
2001,3,2001-07-01,5.807,54.8
2001,4,2001-10-01,5.943,55.8
2002,1,2002-01-01,6.006,55.7
2002,2,2002-04-01,6.126,56.3
2002,3,2002-07-01,6.228,56.7
2002,4,2002-10-01,6.406,57.9
2003,1,2003-01-01,6.461,57.8
2003,2,2003-04-01,6.67,59
2003,3,2003-07-01,6.783,58.6
2003,4,2003-10-01,6.998,59.4
2004,1,2004-01-01,7.131,59.8
2004,2,2004-04-01,7.274,60.1
2004,3,2004-07-01,7.379,60
2004,4,2004-10-01,7.596,60.6
2005,1,2005-01-01,7.777,60.9
2005,2,2005-04-01,7.836,60.6
2005,3,2005-07-01,7.933,60.4
2005,4,2005-10-01,8.17,61.3
2006,1,2006-01-01,8.371,61.6
2006,2,2006-04-01,8.42,61.2
2006,3,2006-07-01,8.507,61.3
2006,4,2006-10-01,8.68,61.8
2007,1,2007-01-01,8.85,62.3
2007,2,2007-04-01,8.868,61.6
2007,3,2007-07-01,9.008,61.8
2007,4,2007-10-01,9.229,62.7
2008,1,2008-01-01,9.438,64.2
2008,2,2008-04-01,9.492,63.9
2008,3,2008-07-01,10.025,67.3
2008,4,2008-10-01,10.7,73.2
2009,1,2009-01-01,11.127,77.1
2009,2,2009-04-01,11.545,80.3
2009,3,2009-07-01,11.91,82.4
2009,4,2009-10-01,12.311,84
2010,1,2010-01-01,12.773,86.5
2010,2,2010-04-01,13.202,88.1
2010,3,2010-07-01,13.562,89.6
2010,4,2010-10-01,14.025,91.6
2011,1,2011-01-01,14.27,93
2011,2,2011-04-01,14.343,92.2
2011,3,2011-07-01,14.79,94.5
2011,4,2011-10-01,15.223,96.1
2012,1,2012-01-01,15.607,97.1
2012,2,2012-04-01,15.855,97.8
2012,3,2012-07-01,16.066,98.4
2012,4,2012-10-01,16.433,100.1
2013,1,2013-01-01,16.771,100.7
2013,2,2013-04-01,16.738,100.1
2013,3,2013-07-01,16.738,98.7
2013,4,2013-10-01,17.156,99.8
2014,1,2014-01-01,17.601,102.3
2014,2,2014-04-01,17.633,100.7
2014,3,2014-07-01,17.824,100.1
2014,4,2014-10-01,18.141,101.3
2015,1,2015-01-01,18.152,100.5
2015,2,2015-04-01,18.152,99.3
2015,3,2015-07-01,18.151,98.6
2015,4,2015-10-01,18.922,102.6
2016,1,2016-01-01,19.265,104
2016,2,2016-04-01,19.382,103.6
2016,3,2016-07-01,19.573,103.6
2016,4,2016-10-01,19.977,104.6
2017,1,2017-01-01,19.846,102.9
2017,2,2017-04-01,19.845,102.1
2017,3,2017-07-01,20.245,102.8
2017,4,2017-10-01,20.493,102.3
2018,1,2018-01-01,21.09,103.7
2018,2,2018-04-01,21.195,103
2018,3,2018-07-01,21.516,103.4
2018,4,2018-10-01,21.974,105
2019,1,2019-01-01,22.028,104.3
2019,2,2019-04-01,22.023,102.9
2019,3,2019-07-01,22.719,104.6
2019,4,2019-10-01,23.201,105.8
2020,1,2020-01-01,23.224,106.8
2020,2,2020-04-01,26.477,132.7
2020,3,2020-07-01,26.945,124.1
2020,4,2020-10-01,27.748,125.6
2021,1,2021-01-01,28.133,124
2021,2,2021-04-01,28.529,121.8
2021,3,2021-07-01,28.429,118.5
2021,4,2021-10-01,29.617,119.4
2022,1,2022-01-01,30.401,120.4
2022,2,2022-04-01,30.569,118.2
2022,3,2022-07-01,30.929,117.4
2022,4,2022-10-01,31.42,117.4
2023,1,2023-01-01,31.458,115.6
2023,2,2023-04-01,32.332,117.4
2023,3,2023-07-01,33.167,118.1
2023,4,2023-10-01,34.001,119.6
2024,1,2024-01-01,34.587,120.5
2024,2,2024-04-01,34.832,119.5
2024,3,2024-07-01,35.465,120.2
2024,4,2024-10-01,36.219,121.4
2025,1,2025-01-01,36.214,120.5
2025,2,2025-04-01,36.211,118.8
2025,3,2025-07-01,37.638,121
2025,4,2025-10-01,38.514,122.6
