date,series_id,value
2018-01-01,COPRPUS,9.999679
2018-01-01,NGHHMCF,4.021212
2018-01-01,WTIPUUS,63.698
2018-02-01,COPRPUS,10.263404
2018-02-01,NGHHMCF,2.77146
2018-02-01,WTIPUUS,62.229
2018-03-01,COPRPUS,10.467058
2018-03-01,NGHHMCF,2.795334
2018-03-01,WTIPUUS,62.725
2018-04-01,COPRPUS,10.493262
2018-04-01,NGHHMCF,2.902248
2018-04-01,WTIPUUS,66.254
2018-05-01,COPRPUS,10.431658
2018-05-01,NGHHMCF,2.9064
2018-05-01,WTIPUUS,69.978
2018-06-01,COPRPUS,10.641212
2018-06-01,NGHHMCF,3.079746
2018-06-01,WTIPUUS,67.873
2018-07-01,COPRPUS,10.902705
2018-07-01,NGHHMCF,2.940654
2018-07-01,WTIPUUS,70.981
2018-08-01,COPRPUS,11.396022
2018-08-01,NGHHMCF,3.073518
2018-08-01,WTIPUUS,68.055
2018-09-01,COPRPUS,11.44361
2018-09-01,NGHHMCF,3.10881
2018-09-01,WTIPUUS,70.231
2018-10-01,COPRPUS,11.508212
2018-10-01,NGHHMCF,3.400488
2018-10-01,WTIPUUS,70.749
2018-11-01,COPRPUS,11.891909
2018-11-01,NGHHMCF,4.246458
2018-11-01,WTIPUUS,56.963
2018-12-01,COPRPUS,11.951183
2018-12-01,NGHHMCF,4.194558
2018-12-01,WTIPUUS,49.523
2019-01-01,COPRPUS,11.872994
2019-01-01,NGHHMCF,3.23336
2019-01-01,WTIPUUS,51.376
2019-02-01,COPRPUS,11.653296
2019-02-01,NGHHMCF,2.79864
2019-02-01,WTIPUUS,54.954
2019-03-01,COPRPUS,11.911673
2019-03-01,NGHHMCF,3.06592
2019-03-01,WTIPUUS,58.151
2019-04-01,COPRPUS,12.14431
2019-04-01,NGHHMCF,2.75288
2019-04-01,WTIPUUS,63.862
2019-05-01,COPRPUS,12.150824
2019-05-01,NGHHMCF,2.74352
2019-05-01,WTIPUUS,60.827
2019-06-01,COPRPUS,12.221918
2019-06-01,NGHHMCF,2.49496
2019-06-01,WTIPUUS,54.657
2019-07-01,COPRPUS,11.906735
2019-07-01,NGHHMCF,2.46064
2019-07-01,WTIPUUS,57.354
2019-08-01,COPRPUS,12.487825
2019-08-01,NGHHMCF,2.30984
2019-08-01,WTIPUUS,54.805
2019-09-01,COPRPUS,12.595673
2019-09-01,NGHHMCF,2.66136
2019-09-01,WTIPUUS,56.947
2019-10-01,COPRPUS,12.809276
2019-10-01,NGHHMCF,2.42424
2019-10-01,WTIPUUS,53.963
2019-11-01,COPRPUS,12.998424
2019-11-01,NGHHMCF,2.75912
2019-11-01,WTIPUUS,57.027
2019-12-01,COPRPUS,12.982715
2019-12-01,NGHHMCF,2.30776
2019-12-01,WTIPUUS,59.877
2020-01-01,COPRPUS,12.865491
2020-01-01,NGHHMCF,2.09878
2020-01-01,WTIPUUS,57.52
2020-02-01,COPRPUS,12.863593
2020-02-01,NGHHMCF,1.98449
2020-02-01,WTIPUUS,50.54
2020-03-01,COPRPUS,12.804757
2020-03-01,NGHHMCF,1.85981
2020-03-01,WTIPUUS,29.21
2020-04-01,COPRPUS,11.918341
2020-04-01,NGHHMCF,1.80786
2020-04-01,WTIPUUS,16.55
2020-05-01,COPRPUS,9.722864
2020-05-01,NGHHMCF,1.81825
2020-05-01,WTIPUUS,28.56
2020-06-01,COPRPUS,10.44987
2020-06-01,NGHHMCF,1.69357
2020-06-01,WTIPUUS,38.31
2020-07-01,COPRPUS,11.013928
2020-07-01,NGHHMCF,1.82864
2020-07-01,WTIPUUS,40.71
2020-08-01,COPRPUS,10.600108
2020-08-01,NGHHMCF,2.3897
2020-08-01,WTIPUUS,42.34
2020-09-01,COPRPUS,10.96297
2020-09-01,NGHHMCF,1.99488
2020-09-01,WTIPUUS,39.63
2020-10-01,COPRPUS,10.491629
2020-10-01,NGHHMCF,2.48321
2020-10-01,WTIPUUS,39.4
2020-11-01,COPRPUS,11.224665
2020-11-01,NGHHMCF,2.71179
2020-11-01,WTIPUUS,40.94
2020-12-01,COPRPUS,11.1882
2020-12-01,NGHHMCF,2.68062
2020-12-01,WTIPUUS,47.02
2021-01-01,COPRPUS,11.155578
2021-01-01,NGHHMCF,2.81569
2021-01-01,WTIPUUS,52
2021-02-01,COPRPUS,9.930583
2021-02-01,NGHHMCF,5.55865
2021-02-01,WTIPUUS,59.04
2021-03-01,COPRPUS,11.375774
2021-03-01,NGHHMCF,2.72218
2021-03-01,WTIPUUS,62.33
2021-04-01,COPRPUS,11.35534
2021-04-01,NGHHMCF,2.76374
2021-04-01,WTIPUUS,61.72
2021-05-01,COPRPUS,11.425009
2021-05-01,NGHHMCF,3.02349
2021-05-01,WTIPUUS,65.17
2021-06-01,COPRPUS,11.400919
2021-06-01,NGHHMCF,3.38714
2021-06-01,WTIPUUS,71.38
2021-07-01,COPRPUS,11.420494
2021-07-01,NGHHMCF,3.98976
2021-07-01,WTIPUUS,72.49
2021-08-01,COPRPUS,11.317954
2021-08-01,NGHHMCF,4.22873
2021-08-01,WTIPUUS,67.73
2021-09-01,COPRPUS,10.960716
