year,application_type,count
1917,Amateur,1
1984,Amateur Vanity,1
1985,Amateur,1
1986,Amateur,1
1988,Amateur,2
1989,Amateur,1
1991,Amateur,1
1992,Amateur,1
1993,Amateur,764
1993,Amateur Vanity,126
1994,Amateur,2300
1994,Amateur Vanity,466
1995,Amateur,2524
1995,Amateur Vanity,168
1996,Amateur,2393
1996,Amateur Vanity,167
1997,Amateur,2312
1997,Amateur Vanity,190
1998,Amateur,2234
1998,Amateur Vanity,162
1999,Amateur,11363
1999,Amateur Vanity,268
1999,GMRS,2
2000,Amateur,31282
2000,Amateur Vanity,697
2000,GMRS,8
2001,Amateur,19253
2001,Amateur Vanity,618
2001,GMRS,26
2002,Amateur,23408
2002,Amateur Vanity,818
2002,GMRS,76
2003,Amateur,23613
2003,Amateur Vanity,791
2003,GMRS,119
2004,Amateur,28074
2004,Amateur Vanity,1706
2004,GMRS,3350
2005,Amateur,23927
2005,Amateur Vanity,1732
2005,GMRS,2207
2006,Amateur,44117
2006,Amateur Vanity,2198
2006,GMRS,14134
2007,Amateur,37378
2007,Amateur Vanity,2407
2007,GMRS,9923
2008,Amateur,34363
2008,Amateur Vanity,2624
2008,GMRS,19700
2009,Amateur,33507
2009,Amateur Vanity,1964
2009,GMRS,22347
2010,Amateur,25707
2010,Amateur Vanity,1878
2010,GMRS,13038
2011,Amateur,17826
2011,Amateur Vanity,1740
2011,GMRS,12213
2012,Amateur,18348
2012,Amateur Vanity,1641
2012,GMRS,9804
2013,Amateur,22169
2013,Amateur Vanity,1424
2013,GMRS,7539
2014,Amateur,48255
2014,Amateur Vanity,3023
2014,GMRS,6224
2015,Amateur,58493
2015,Amateur Vanity,3900
2015,GMRS,5358
2016,Amateur,80367
2016,Amateur Vanity,11885
2016,GMRS,4770
2017,Amateur,89788
2017,Amateur Vanity,14146
2017,GMRS,7335
2018,Amateur,85324
2018,Amateur Vanity,16332
2018,GMRS,16438
2019,Amateur,82156
2019,Amateur Vanity,17232
2019,GMRS,19503
2020,Amateur,79090
2020,Amateur Vanity,19430
2020,GMRS,35833
2021,Amateur,83483
2021,Amateur Vanity,19372
2021,GMRS,52437
2022,Amateur,76908
2022,Amateur Vanity,18256
2022,GMRS,68806
2023,Amateur,85178
2023,Amateur Vanity,17350
2023,GMRS,63380
2024,Amateur,110298
2024,Amateur Vanity,28138
2024,GMRS,99859
2025,Amateur,99312
2025,Amateur Vanity,23497
2025,GMRS,65337
2026,Amateur,49975
2026,Amateur Vanity,10362
2026,GMRS,25933
