year,consumption,investment,government,net_exports
2001,67.76,19.63,17.87,-4.07
2002,67.77,18.75,18.42,-4.93
2003,68.76,18.17,17.51,-3.52
2004,69.53,17.32,17.45,-5.41
2005,68.18,17.89,17.54,-4.44
2006,67.79,19.09,18.28,-3.71
2007,67.58,17.98,18.45,-3.66
2008,68.06,16.01,17.66,-4.11
2009,67.62,15.87,17.88,-4.87
2010,68.54,18.12,17.03,-4.47
2011,67.35,18.18,18.42,-3.39
2012,67,16.56,17.45,-4.55
2013,67.8,18.65,18.56,-3.57
2014,67.87,17.67,18.33,-4.69
2015,68.07,17.38,18,-4.07
2016,67.84,17.46,18.09,-5.07
2017,69.01,17.64,17.99,-3.89
2018,68.28,17.92,18.4,-3.63
2019,68.71,18.48,17.59,-4.02
2020,68.58,15.25,19.55,-5.27
2021,69.22,18.94,18.87,-2.89
2022,66.8,18.13,17.57,-4.32
2023,67.79,18.1,18.22,-3.16
2024,68.46,17.17,18.11,-3.62
2025,68.09,20.01,18.29,-3.48
2026,67.19,18.28,18.1,-3.67
