year,sector,return_pct
2001,Information Technology,-19.5
2002,Information Technology,-28.9
2003,Information Technology,38.8
2004,Information Technology,16.1
2005,Information Technology,9.3
2006,Information Technology,17.6
2007,Information Technology,11
2008,Information Technology,-55.8
2009,Information Technology,39.4
2010,Information Technology,23.2
2011,Information Technology,3.2
2012,Information Technology,16.1
2013,Information Technology,40.8
2014,Information Technology,14.6
2015,Information Technology,8.8
2016,Information Technology,19.4
2017,Information Technology,31.9
2018,Information Technology,-4.9
2019,Information Technology,43.5
2020,Information Technology,23.6
2021,Information Technology,40.4
2022,Information Technology,-18.8
2023,Information Technology,32.2
2024,Information Technology,33.9
2025,Information Technology,11.9
2026,Information Technology,6.4
2001,Health Care,-7.5
2002,Health Care,-24.1
2003,Health Care,22.9
2004,Health Care,5.2
2005,Health Care,2.5
2006,Health Care,14.7
2007,Health Care,10.6
2008,Health Care,-29.2
2009,Health Care,25.5
2010,Health Care,12.7
2011,Health Care,5.9
2012,Health Care,15.5
2013,Health Care,27
2014,Health Care,11.3
2015,Health Care,1.2
2016,Health Care,9.3
2017,Health Care,17
2018,Health Care,2.6
2019,Health Care,25
2020,Health Care,15.5
2021,Health Care,26.6
2022,Health Care,-23.8
2023,Health Care,25.2
2024,Health Care,20.3
2025,Health Care,5.5
2026,Health Care,7
2001,Financials,-19.2
2002,Financials,-27.5
2003,Financials,29.1
2004,Financials,13.3
2005,Financials,4.3
2006,Financials,26.6
2007,Financials,9.1
2008,Financials,-43.9
2009,Financials,33.6
2010,Financials,13.4
2011,Financials,12.4
2012,Financials,14.3
2013,Financials,46.4
2014,Financials,14.2
2015,Financials,-3.2
2016,Financials,18.5
2017,Financials,23.8
2018,Financials,-3.9
2019,Financials,41.3
2020,Financials,29.3
2021,Financials,27.6
2022,Financials,-22.8
2023,Financials,24.5
2024,Financials,27.1
2025,Financials,17.6
2026,Financials,2.2
2001,Consumer Discretionary,-9.3
2002,Consumer Discretionary,-21.3
2003,Consumer Discretionary,28.3
