date,tone,volume
2017-01-01,-1.7273,NA
2017-01-02,-1.4015,NA
2017-01-03,-1.0525,NA
2017-01-04,-0.7353,NA
2017-01-05,-1.0273,NA
2017-01-06,-1.245,NA
2017-01-07,-1.6203,NA
2017-01-08,-1.2258,NA
2017-01-09,-0.6141,NA
2017-01-10,-0.7368,NA
2017-01-11,-1.104,NA
2017-01-12,-0.8189,NA
2017-01-13,-0.6068,NA
2017-01-14,-0.8089,NA
2017-01-15,-1.2286,NA
2017-01-16,-1.0183,NA
2017-01-17,-0.8154,NA
2017-01-18,-0.9582,NA
2017-01-19,-0.7034,NA
2017-01-20,-0.5858,NA
2017-01-21,-0.6916,NA
2017-01-22,-1.1895,NA
2017-01-23,-1.1556,NA
2017-01-24,-0.8376,NA
2017-01-25,-1.3113,NA
2017-01-26,-1.3896,NA
2017-01-27,-1.4229,NA
2017-01-28,-1.9089,NA
2017-01-29,-2.4349,NA
2017-01-30,-2.1055,NA
2017-01-31,-1.6736,NA
2017-02-01,-1.2132,NA
2017-02-02,-1.5494,NA
2017-02-03,-1.8601,NA
2017-02-04,-1.9635,NA
2017-02-05,-1.9031,NA
2017-02-06,-1.2319,NA
2017-02-07,-1.801,NA
2017-02-08,-1.7091,NA
2017-02-09,-1.7621,NA
2017-02-10,-1.4643,NA
2017-02-11,-1.6224,NA
2017-02-12,-1.1963,NA
2017-02-13,-0.8519,NA
2017-02-14,-1.3421,NA
2017-02-15,-1.1465,NA
2017-02-16,-1.2153,NA
2017-02-17,-1.369,NA
2017-02-18,-1.4364,NA
2017-02-19,-1.7334,NA
2017-02-20,-1.2854,NA
2017-02-21,-1.2123,NA
2017-02-22,-1.3894,NA
2017-02-23,-0.9127,NA
2017-02-24,-1.2735,NA
2017-02-25,-1.0943,NA
2017-02-26,-1.1102,NA
2017-02-27,-0.6424,NA
2017-02-28,-0.9025,NA
2017-03-01,-0.9604,NA
2017-03-02,-0.872,NA
2017-03-03,-1.0617,NA
2017-03-04,-1.48,NA
2017-03-05,-1.7686,NA
2017-03-06,-1.7548,NA
2017-03-07,-1.2213,NA
2017-03-08,-1.2121,NA
2017-03-09,-1.308,NA
2017-03-10,-1.4737,NA
2017-03-11,-1.7426,NA
2017-03-12,-1.7038,NA
2017-03-13,-1.3998,NA
2017-03-14,-1.291,NA
2017-03-15,-1.7664,NA
2017-03-16,-1.4395,NA
2017-03-17,-1.2743,NA
2017-03-18,-1.4651,NA
2017-03-19,-1.3387,NA
2017-03-20,-1.175,NA
2017-03-21,-1.2845,NA
2017-03-22,-1.3357,NA
2017-03-23,-1.5597,NA
2017-03-24,-1.4072,NA
2017-03-25,-1.6788,NA
2017-03-26,-1.5114,NA
2017-03-27,-1.2506,NA
2017-03-28,-1.1388,NA
2017-03-29,-0.9464,NA
2017-03-30,-1.2873000000000001,NA
2017-03-31,-1.4686,NA
2017-04-01,-1.7192,NA
2017-04-02,-1.6675,NA
2017-04-03,-1.4295,NA
2017-04-04,-1.533,NA
2017-04-05,-1.6429,NA
2017-04-06,-1.5597,NA
2017-04-07,-2.5667,NA
2017-04-08,-2.3341,NA
2017-04-09,-2.2732,NA
2017-04-10,-1.4599,NA
2017-04-11,-1.7281,NA
2017-04-12,-1.6723,NA
2017-04-13,-1.4713,NA
2017-04-14,-2.0378,NA
2017-04-15,-2.0304,NA
2017-04-16,-1.799,NA
2017-04-17,-1.1525,NA
2017-04-18,-1.0654,NA
2017-04-19,-1.1337,NA
2017-04-20,-1.385,NA
2017-04-21,-1.6579,NA
2017-04-22,-1.4549,NA
2017-04-23,-1.2179,NA
2017-04-24,-1.2509,NA
2017-04-25,-0.987,NA
2017-04-26,-1.2897,NA
2017-04-27,-1.4368,NA
2017-04-28,-1.3407,NA
2017-04-29,-1.3108,NA
2017-04-30,-1.2569,NA
2017-05-01,-1.0993,NA
2017-05-02,-1.3378,NA
2017-05-03,-0.9434,NA
2017-05-04,-0.8143,NA
2017-05-05,-1.126,NA
2017-05-06,-1.8709,NA
2017-05-07,-1.0481,NA
2017-05-08,-0.7191,NA
2017-05-09,-0.9805,NA
2017-05-10,-1.5732,NA
2017-05-11,-1.2762,NA
2017-05-12,-1.3109,NA
2017-05-13,-0.9125,NA
2017-05-14,-0.8252,NA
2017-05-15,-1.3638,NA
2017-05-16,-1.2386,NA
2017-05-17,-1.4859,NA
2017-05-18,-1.3107,NA
2017-05-19,-1.6887,NA
2017-05-20,-0.8392,NA
2017-05-21,-1.1049,NA
2017-05-22,-1.1233,NA
2017-05-23,-1.9885,NA
2017-05-24,-1.3098,NA
2017-05-25,-1.5197,NA
2017-05-26,-1.5118,NA
2017-05-27,-1.4459,NA
2017-05-28,-0.9541,NA
2017-05-29,-1.0859,NA
2017-05-30,-1.6939,NA
2017-05-31,-1.5267,NA
2017-06-01,-1.2495,NA
2017-06-02,-1.4866,NA
2017-06-03,-1.2641,NA
2017-06-04,-2.3131,NA
2017-06-05,-1.6358,NA
2017-06-06,-1.2858,NA
2017-06-07,-1.1998,NA
2017-06-08,-1.087,NA
2017-06-09,-1.5178,NA
2017-06-10,-1.6117,NA
2017-06-11,-0.7245,NA
2017-06-12,-0.8527,NA
2017-06-13,-0.9911,NA
2017-06-14,-1.2438,NA
2017-06-15,-1.3893,NA
2017-06-16,-1.2808,NA
2017-06-17,-1.3975,NA
2017-06-18,-1.769,NA
2017-06-19,-1.5099,NA
2017-06-20,-1.2746,NA
2017-06-21,-0.9149,NA
2017-06-22,-1.0387,NA
2017-06-23,-1.1882,NA
2017-06-24,-0.9507,NA
2017-06-25,-1.0153,NA
2017-06-26,-1.1674,NA
2017-06-27,-1.4258,NA
2017-06-28,-1.1362,NA
2017-06-29,-1.3374,NA
2017-06-30,-1.6226,NA
2017-07-01,-1.2937,NA
2017-07-02,-2.0059,NA
2017-07-03,-1.3381,NA
2017-07-04,-1.359,NA
2017-07-05,-1.1352,NA
2017-07-06,-1.4897,NA
2017-07-07,-1.6966,NA
2017-07-08,-1.4988,NA
2017-07-09,-1.3081,NA
2017-07-10,-1.1175,NA
2017-07-11,-0.9326,NA
2017-07-12,-1.2375,NA
2017-07-13,-1.0995,NA
2017-07-14,-1.3466,NA
2017-07-15,-1.6061,NA
2017-07-16,-1.7855,NA
2017-07-17,-1.3365,NA
2017-07-18,-1.1959,NA
2017-07-19,-1.2381,NA
2017-07-20,-1.2948,NA
2017-07-21,-1.4346,NA
2017-07-22,-1.4556,NA
2017-07-23,-1.6352,NA
2017-07-24,-1.5574,NA
2017-07-25,-1.1282,NA
2017-07-26,-1.402,NA
2017-07-27,-1.2117,NA
2017-07-28,-1.4543,NA
2017-07-29,-1.6867,NA
2017-07-30,-1.7699,NA
2017-07-31,-1.3857,NA
2017-08-01,-1.4566,NA
2017-08-02,-1.2794,NA
2017-08-03,-1.1415,NA
2017-08-04,-0.9675,NA
2017-08-05,-1.7026,NA
2017-08-06,-1.8375,NA
2017-08-07,-1.6463,NA
2017-08-08,-1.2409,NA
2017-08-09,-1.7437,NA
2017-08-10,-1.7369,NA
2017-08-11,-1.7709,NA
2017-08-12,-2.641,NA
2017-08-13,-3.6836,NA
2017-08-14,-3.1712,NA
2017-08-15,-2.573,NA
2017-08-16,-2.3404,NA
2017-08-17,-2.6475,NA
2017-08-18,-2.7894,NA
2017-08-19,-2.3667,NA
2017-08-20,-2.212,NA
2017-08-21,-1.7779,NA
2017-08-22,-1.4977,NA
2017-08-23,-1.8574,NA
2017-08-24,-1.1539,NA
2017-08-25,-2.179,NA
2017-08-26,-2.7856,NA
2017-08-27,-2.8248,NA
2017-08-28,-2.0013,NA
2017-08-29,-1.8146,NA
2017-08-30,-1.6335,NA
2017-08-31,-1.4914,NA
2017-09-01,-1.7756,NA
2017-09-02,-1.8776,NA
2017-09-03,-1.6127,NA
2017-09-04,-1.5859,NA
2017-09-05,-1.4829,NA
2017-09-06,-1.5841,NA
2017-09-07,-1.663,NA
2017-09-08,-2.0712,NA
2017-09-09,-2.3255,NA
2017-09-10,-2.5506,NA
2017-09-11,-1.8336,NA
2017-09-12,-1.2748,NA
2017-09-13,-1.4968,NA
2017-09-14,-1.1879,NA
2017-09-15,-1.7434,NA
2017-09-16,-1.9193,NA
2017-09-17,-1.3724,NA
2017-09-18,-0.5522,NA
2017-09-19,-1.4496,NA
2017-09-20,-1.4737,NA
2017-09-21,-1.34,NA
2017-09-22,-1.7848,NA
2017-09-23,-1.5214,NA
2017-09-24,-1.3247,NA
2017-09-25,-1.5176,NA
2017-09-26,-1.55,NA
2017-09-27,-1.384,NA
2017-09-28,-1.2478,NA
2017-09-29,-1.1526,NA
2017-09-30,-1.494,NA
2017-10-01,-1.8673,NA
2017-10-02,-2.483,NA
2017-10-03,-1.8417,NA
2017-10-04,-1.6281,NA
2017-10-05,-1.2661,NA
2017-10-06,-1.5635,NA
2017-10-07,-1.9866,NA
2017-10-08,-1.6925,NA
2017-10-09,-1.1778,NA
2017-10-10,-1.5382,NA
2017-10-11,-1.4497,NA
2017-10-12,-1.3503,NA
2017-10-13,-1.3373,NA
2017-10-14,-1.4944,NA
2017-10-15,-1.9563,NA
2017-10-16,-2.207,NA
2017-10-17,-1.4699,NA
2017-10-18,-1.3149,NA
2017-10-19,-1.4157,NA
2017-10-20,-1.7477,NA
2017-10-21,-1.808,NA
