date,year,month,relevant,total
2008-01-01,2008,1,8123,65631
2008-02-01,2008,2,7694,72856
2008-03-01,2008,3,8255,50704
2008-04-01,2008,4,10899,58786
2008-05-01,2008,5,40168,217818
2008-06-01,2008,6,26726,145024
2008-07-01,2008,7,28410,175902
2008-08-01,2008,8,38771,195292
2008-09-01,2008,9,37935,178206
2008-10-01,2008,10,50531,227491
2008-11-01,2008,11,51484,221374
2008-12-01,2008,12,48066,272688
2009-01-01,2009,1,59531,340204
2009-02-01,2009,2,60587,279587
2009-03-01,2009,3,67111,314407
2009-04-01,2009,4,66684,344842
2009-05-01,2009,5,62873,301345
2009-06-01,2009,6,67107,310549
2009-07-01,2009,7,63762,295864
2009-08-01,2009,8,58005,283489
2009-09-01,2009,9,69574,405268
2009-10-01,2009,10,68431,356461
2009-11-01,2009,11,53544,284857
2009-12-01,2009,12,56473,296814
2010-01-01,2010,1,70739,462354
2010-02-01,2010,2,54523,321077
2010-03-01,2010,3,68302,471452
2010-04-01,2010,4,72863,522475
2010-05-01,2010,5,70936,516139
2010-06-01,2010,6,83979,555461
2010-07-01,2010,7,78767,572043
2010-08-01,2010,8,81924,595943
2010-09-01,2010,9,82809,608902
2010-10-01,2010,10,76887,577738
2010-11-01,2010,11,83871,660024
2010-12-01,2010,12,106966,809795
2011-01-01,2011,1,132580,1088175
2011-02-01,2011,2,124552,812942
2011-03-01,2011,3,129804,968447
2011-04-01,2011,4,132029,886539
2011-05-01,2011,5,150798,900342
2011-06-01,2011,6,126990,847019
2011-07-01,2011,7,122958,812592
2011-08-01,2011,8,108948,815587
2011-09-01,2011,9,104460,826907
2011-10-01,2011,10,93723,681214
2011-11-01,2011,11,84475,611306
2011-12-01,2011,12,91810,662592
2012-01-01,2012,1,107063,820776
2012-02-01,2012,2,93682,645602
2012-03-01,2012,3,101296,696787
2012-04-01,2012,4,95517,656929
2012-05-01,2012,5,98539,685763
2012-06-01,2012,6,128680,878698
2012-07-01,2012,7,88054,666762
2012-08-01,2012,8,141247,988823
2012-09-01,2012,9,168745,1156669
2012-10-01,2012,10,217232,1318680
2012-11-01,2012,11,200311,1315458
2012-12-01,2012,12,167983,1194806
2013-01-01,2013,1,195302,1476103
2013-02-01,2013,2,166756,1262778
2013-03-01,2013,3,209478,2370184
2013-04-01,2013,4,258786,3680654
2013-05-01,2013,5,273472,4922914
2013-06-01,2013,6,283149,5360009
2013-07-01,2013,7,290330,5595053
2013-08-01,2013,8,355633,5437186
2013-09-01,2013,9,329506,5059654
2013-10-01,2013,10,360768,5695786
2013-11-01,2013,11,234596,4101458
2013-12-01,2013,12,139286,1950207
2014-01-01,2014,1,348316,5662452
2014-02-01,2014,2,314601,5174052
2014-03-01,2014,3,341206,5638070
2014-04-01,2014,4,340606,5719921
2014-05-01,2014,5,338498,5667298
