date,mc_relevant,mc_total,president,party
2008-01-01,8123,65631,George W. Bush,Republican
2008-02-01,7694,72856,George W. Bush,Republican
2008-03-01,8255,50704,George W. Bush,Republican
2008-04-01,10899,58786,George W. Bush,Republican
2008-05-01,40168,217818,George W. Bush,Republican
2008-06-01,26726,145024,George W. Bush,Republican
2008-07-01,28410,175902,George W. Bush,Republican
2008-08-01,38771,195292,George W. Bush,Republican
2008-09-01,37935,178206,George W. Bush,Republican
2008-10-01,50531,227491,George W. Bush,Republican
2008-11-01,51484,221374,George W. Bush,Republican
2008-12-01,48066,272688,George W. Bush,Republican
2009-01-01,59531,340204,George W. Bush,Republican
2009-02-01,60587,279587,Barack Obama,Democratic
2009-03-01,67111,314407,Barack Obama,Democratic
2009-04-01,66684,344842,Barack Obama,Democratic
2009-05-01,62873,301345,Barack Obama,Democratic
2009-06-01,67107,310549,Barack Obama,Democratic
2009-07-01,63762,295864,Barack Obama,Democratic
2009-08-01,58005,283489,Barack Obama,Democratic
2009-09-01,69574,405268,Barack Obama,Democratic
2009-10-01,68431,356461,Barack Obama,Democratic
2009-11-01,53544,284857,Barack Obama,Democratic
2009-12-01,56473,296814,Barack Obama,Democratic
2010-01-01,70739,462354,Barack Obama,Democratic
2010-02-01,54523,321077,Barack Obama,Democratic
2010-03-01,68302,471452,Barack Obama,Democratic
2010-04-01,72863,522475,Barack Obama,Democratic
2010-05-01,70936,516139,Barack Obama,Democratic
2010-06-01,83979,555461,Barack Obama,Democratic
2010-07-01,78767,572043,Barack Obama,Democratic
2010-08-01,81924,595943,Barack Obama,Democratic
2010-09-01,82809,608902,Barack Obama,Democratic
2010-10-01,76887,577738,Barack Obama,Democratic
2010-11-01,83871,660024,Barack Obama,Democratic
2010-12-01,106966,809795,Barack Obama,Democratic
2011-01-01,132580,1088175,Barack Obama,Democratic
2011-02-01,124552,812942,Barack Obama,Democratic
2011-03-01,129804,968447,Barack Obama,Democratic
2011-04-01,132029,886539,Barack Obama,Democratic
2011-05-01,150798,900342,Barack Obama,Democratic
2011-06-01,126990,847019,Barack Obama,Democratic
2011-07-01,122958,812592,Barack Obama,Democratic
2011-08-01,108948,815587,Barack Obama,Democratic
2011-09-01,104460,826907,Barack Obama,Democratic
2011-10-01,93723,681214,Barack Obama,Democratic
2011-11-01,84475,611306,Barack Obama,Democratic
2011-12-01,91810,662592,Barack Obama,Democratic
2012-01-01,107063,820776,Barack Obama,Democratic
2012-02-01,93682,645602,Barack Obama,Democratic
2012-03-01,101296,696787,Barack Obama,Democratic
2012-04-01,95517,656929,Barack Obama,Democratic
2012-05-01,98539,685763,Barack Obama,Democratic
2012-06-01,128680,878698,Barack Obama,Democratic
2012-07-01,88054,666762,Barack Obama,Democratic
2012-08-01,141247,988823,Barack Obama,Democratic
2012-09-01,168745,1156669,Barack Obama,Democratic
2012-10-01,217232,1318680,Barack Obama,Democratic
2012-11-01,200311,1315458,Barack Obama,Democratic
2012-12-01,167983,1194806,Barack Obama,Democratic
2013-01-01,195302,1476103,Barack Obama,Democratic
2013-02-01,166756,1262778,Barack Obama,Democratic
2013-03-01,209478,2370184,Barack Obama,Democratic
2013-04-01,258786,3680654,Barack Obama,Democratic
2013-05-01,273472,4922914,Barack Obama,Democratic
2013-06-01,283149,5360009,Barack Obama,Democratic
2013-07-01,290330,5595053,Barack Obama,Democratic
2013-08-01,355633,5437186,Barack Obama,Democratic
2013-09-01,329506,5059654,Barack Obama,Democratic
2013-10-01,360768,5695786,Barack Obama,Democratic
2013-11-01,234596,4101458,Barack Obama,Democratic
2013-12-01,139286,1950207,Barack Obama,Democratic
2014-01-01,348316,5662452,Barack Obama,Democratic
2014-02-01,314601,5174052,Barack Obama,Democratic
2014-03-01,341206,5638070,Barack Obama,Democratic
2014-04-01,340606,5719921,Barack Obama,Democratic
2014-05-01,338498,5667298,Barack Obama,Democratic
2014-06-01,346697,5619841,Barack Obama,Democratic
2014-07-01,338443,5793796,Barack Obama,Democratic
2014-08-01,315260,5552112,Barack Obama,Democratic
2014-09-01,330530,5724536,Barack Obama,Democratic
2014-10-01,305878,5761860,Barack Obama,Democratic
2014-11-01,285862,5060945,Barack Obama,Democratic
2014-12-01,286069,5090854,Barack Obama,Democratic
2015-01-01,318032,5582677,Barack Obama,Democratic
2015-02-01,310703,5455399,Barack Obama,Democratic
2015-03-01,362710,5823435,Barack Obama,Democratic
2015-04-01,323664,5568997,Barack Obama,Democratic
2015-05-01,316644,5657986,Barack Obama,Democratic
2015-06-01,346819,5667829,Barack Obama,Democratic
2015-07-01,368709,5743510,Barack Obama,Democratic
2015-08-01,332694,5525520,Barack Obama,Democratic
