year,geo,geo_label,value
2001,andrews,Andrews Co. (Andrews),1237772
2001,borden,Borden Co. (Gail),151494
2001,coke,Coke Co. (Robert Lee),115668
2001,concho,Concho Co. (Paint Rock),124209
2001,crane,Crane Co. (Crane),731093
2001,crockett,Crockett Co. (Ozona),761387
2001,dawson,Dawson Co. (Lamesa),500323
2001,ector,Ector Co. (Odessa),5261980
2001,gaines,Gaines Co. (Seminole),1611472
2001,glasscock,Glasscock Co. (Garden City),211998
2001,howard,Howard Co. (Big Spring),1349435
2001,irion,Irion Co. (Mertzon),134276
2001,kimble,Kimble Co. (Junction),124236
2001,loving,Loving Co. (Mentone),138029
2001,martin,Martin Co. (Stanton),220332
2001,mason,Mason Co. (Mason),69305
2001,mcculloch,McCulloch Co. (Brady),233454
2001,menard,Menard Co. (Menard),43450
2001,midland,Midland Co. (Midland),5873658
2001,pecos,Pecos Co. (Fort Stockton),1968436
2001,reagan,Reagan Co. (Big Lake),323064
2001,reeves,Reeves Co. (Pecos),364186
2001,schleicher,Schleicher Co. (Eldorado),169290
2001,sterling,Sterling Co. (Sterling City),229792
2001,sutton,Sutton Co. (Sonora),685662
2001,terrell,Terrell Co. (Sanderson),378602
2001,tom_green,Tom Green Co. (San Angelo),4081223
2001,TX,Texas,1020517032
2001,upton,Upton Co. (Rankin),610528
2001,US,United States,14230726000
2001,ward,Ward Co. (Monahans),807252
2001,winkler,Winkler Co. (Kermit),593053
2002,andrews,Andrews Co. (Andrews),1637151
2002,borden,Borden Co. (Gail),224837
2002,coke,Coke Co. (Robert Lee),118945
2002,concho,Concho Co. (Paint Rock),127560
2002,crane,Crane Co. (Crane),883413
2002,crockett,Crockett Co. (Ozona),853420
2002,dawson,Dawson Co. (Lamesa),601033
2002,ector,Ector Co. (Odessa),5674143
2002,gaines,Gaines Co. (Seminole),2122970
2002,glasscock,Glasscock Co. (Garden City),260475
2002,howard,Howard Co. (Big Spring),1373449
2002,irion,Irion Co. (Mertzon),153529
2002,kimble,Kimble Co. (Junction),139892
2002,loving,Loving Co. (Mentone),152855
2002,martin,Martin Co. (Stanton),268371
2002,mason,Mason Co. (Mason),85508
2002,mcculloch,McCulloch Co. (Brady),240159
2002,menard,Menard Co. (Menard),48416
2002,midland,Midland Co. (Midland),5907258
2002,pecos,Pecos Co. (Fort Stockton),2208636
2002,reagan,Reagan Co. (Big Lake),374198
2002,reeves,Reeves Co. (Pecos),390560
2002,schleicher,Schleicher Co. (Eldorado),177550
2002,sterling,Sterling Co. (Sterling City),252962
2002,sutton,Sutton Co. (Sonora),791967
2002,terrell,Terrell Co. (Sanderson),419857
2002,tom_green,Tom Green Co. (San Angelo),3984991
2002,TX,Texas,1042584367
2002,upton,Upton Co. (Rankin),712235
2002,US,United States,14472712000
2002,ward,Ward Co. (Monahans),861760
2002,winkler,Winkler Co. (Kermit),667644
2003,andrews,Andrews Co. (Andrews),1166320
2003,borden,Borden Co. (Gail),161120
2003,coke,Coke Co. (Robert Lee),103084
2003,concho,Concho Co. (Paint Rock),108180
2003,crane,Crane Co. (Crane),684751
2003,crockett,Crockett Co. (Ozona),770913
2003,dawson,Dawson Co. (Lamesa),529335
2003,ector,Ector Co. (Odessa),5411959
2003,gaines,Gaines Co. (Seminole),1634373
