year,geo,geo_label,value
1969,andrews,Andrews Co. (Andrews),4011
1969,borden,Borden Co. (Gail),3138
1969,coke,Coke Co. (Robert Lee),2941
1969,concho,Concho Co. (Paint Rock),2408
1969,crane,Crane Co. (Crane),3431
1969,crockett,Crockett Co. (Ozona),3725
1969,dawson,Dawson Co. (Lamesa),3307
1969,ector,Ector Co. (Odessa),3585
1969,gaines,Gaines Co. (Seminole),3183
1969,glasscock,Glasscock Co. (Garden City),2965
1969,howard,Howard Co. (Big Spring),3348
1969,irion,Irion Co. (Mertzon),4187
1969,kimble,Kimble Co. (Junction),2993
1969,loving,Loving Co. (Mentone),1166
1969,martin,Martin Co. (Stanton),3007
1969,mason,Mason Co. (Mason),2904
1969,mcculloch,McCulloch Co. (Brady),2630
1969,menard,Menard Co. (Menard),3115
1969,midland,Midland Co. (Midland),4507
1969,pecos,Pecos Co. (Fort Stockton),3081
1969,reagan,Reagan Co. (Big Lake),3891
1969,reeves,Reeves Co. (Pecos),3003
1969,schleicher,Schleicher Co. (Eldorado),3730
1969,sterling,Sterling Co. (Sterling City),3999
1969,sutton,Sutton Co. (Sonora),3223
1969,terrell,Terrell Co. (Sanderson),3973
1969,tom_green,Tom Green Co. (San Angelo),3355
1969,TX,Texas,3493
1969,upton,Upton Co. (Rankin),2753
1969,US,United States,3931
1969,ward,Ward Co. (Monahans),3215
1969,winkler,Winkler Co. (Kermit),3530
1970,andrews,Andrews Co. (Andrews),3887
1970,borden,Borden Co. (Gail),4360
1970,coke,Coke Co. (Robert Lee),2657
1970,concho,Concho Co. (Paint Rock),2740
1970,crane,Crane Co. (Crane),3814
1970,crockett,Crockett Co. (Ozona),3871
1970,dawson,Dawson Co. (Lamesa),3703
1970,ector,Ector Co. (Odessa),3698
1970,gaines,Gaines Co. (Seminole),3290
1970,glasscock,Glasscock Co. (Garden City),3647
1970,howard,Howard Co. (Big Spring),3920
1970,irion,Irion Co. (Mertzon),3987
1970,kimble,Kimble Co. (Junction),3252
1970,loving,Loving Co. (Mentone),3079
1970,martin,Martin Co. (Stanton),3660
1970,mason,Mason Co. (Mason),2722
1970,mcculloch,McCulloch Co. (Brady),2982
1970,menard,Menard Co. (Menard),3272
1970,midland,Midland Co. (Midland),4753
1970,pecos,Pecos Co. (Fort Stockton),3337
1970,reagan,Reagan Co. (Big Lake),3487
1970,reeves,Reeves Co. (Pecos),2912
1970,schleicher,Schleicher Co. (Eldorado),4221
1970,sterling,Sterling Co. (Sterling City),4561
1970,sutton,Sutton Co. (Sonora),2682
1970,terrell,Terrell Co. (Sanderson),4045
1970,tom_green,Tom Green Co. (San Angelo),3794
1970,TX,Texas,3782
1970,upton,Upton Co. (Rankin),3070
1970,US,United States,4198
1970,ward,Ward Co. (Monahans),3180
1970,winkler,Winkler Co. (Kermit),3506
1971,andrews,Andrews Co. (Andrews),4356
1971,borden,Borden Co. (Gail),5255
1971,coke,Coke Co. (Robert Lee),2834
1971,concho,Concho Co. (Paint Rock),2103
1971,crane,Crane Co. (Crane),3928
1971,crockett,Crockett Co. (Ozona),3958
1971,dawson,Dawson Co. (Lamesa),3337
1971,ector,Ector Co. (Odessa),3926
1971,gaines,Gaines Co. (Seminole),3056
1971,glasscock,Glasscock Co. (Garden City),3734
1971,howard,Howard Co. (Big Spring),4065
1971,irion,Irion Co. (Mertzon),3543
1971,kimble,Kimble Co. (Junction),3070
1971,loving,Loving Co. (Mentone),5815
1971,martin,Martin Co. (Stanton),3682
1971,mason,Mason Co. (Mason),2840
1971,mcculloch,McCulloch Co. (Brady),2890
1971,menard,Menard Co. (Menard),3059
1971,midland,Midland Co. (Midland),5083
1971,pecos,Pecos Co. (Fort Stockton),3266
1971,reagan,Reagan Co. (Big Lake),3512
1971,reeves,Reeves Co. (Pecos),2484
1971,schleicher,Schleicher Co. (Eldorado),4244
1971,sterling,Sterling Co. (Sterling City),4316
1971,sutton,Sutton Co. (Sonora),2869
1971,terrell,Terrell Co. (Sanderson),4476
1971,tom_green,Tom Green Co. (San Angelo),3986
1971,TX,Texas,4007
1971,upton,Upton Co. (Rankin),3430
1971,US,United States,4471
1971,ward,Ward Co. (Monahans),3298
1971,winkler,Winkler Co. (Kermit),3915
1972,andrews,Andrews Co. (Andrews),3892
1972,borden,Borden Co. (Gail),7498
1972,coke,Coke Co. (Robert Lee),3457
1972,concho,Concho Co. (Paint Rock),3256
1972,crane,Crane Co. (Crane),4213
1972,crockett,Crockett Co. (Ozona),4386
1972,dawson,Dawson Co. (Lamesa),3507
1972,ector,Ector Co. (Odessa),4291
1972,gaines,Gaines Co. (Seminole),3866
1972,glasscock,Glasscock Co. (Garden City),5050
1972,howard,Howard Co. (Big Spring),4392
1972,irion,Irion Co. (Mertzon),4330
1972,kimble,Kimble Co. (Junction),3716
1972,loving,Loving Co. (Mentone),11699
1972,martin,Martin Co. (Stanton),3661
1972,mason,Mason Co. (Mason),3513
1972,mcculloch,McCulloch Co. (Brady),3570
1972,menard,Menard Co. (Menard),3427
1972,midland,Midland Co. (Midland),5499
1972,pecos,Pecos Co. (Fort Stockton),3672
1972,reagan,Reagan Co. (Big Lake),4448
1972,reeves,Reeves Co. (Pecos),3218
1972,schleicher,Schleicher Co. (Eldorado),5311
1972,sterling,Sterling Co. (Sterling City),4432
1972,sutton,Sutton Co. (Sonora),5497
1972,terrell,Terrell Co. (Sanderson),3490
1972,tom_green,Tom Green Co. (San Angelo),4416
1972,TX,Texas,4352
1972,upton,Upton Co. (Rankin),3762
1972,US,United States,4857
1972,ward,Ward Co. (Monahans),3842
