year,geo,geo_label,value,gdp_growth_pct
2001,andrews,Andrews Co. (Andrews),1237772,
2002,andrews,Andrews Co. (Andrews),1637151,32.27
2003,andrews,Andrews Co. (Andrews),1166320,-28.76
2004,andrews,Andrews Co. (Andrews),1162589,-0.32
2005,andrews,Andrews Co. (Andrews),1200768,3.28
2006,andrews,Andrews Co. (Andrews),1489703,24.06
2007,andrews,Andrews Co. (Andrews),1626221,9.16
2008,andrews,Andrews Co. (Andrews),1589049,-2.29
2009,andrews,Andrews Co. (Andrews),1981982,24.73
2010,andrews,Andrews Co. (Andrews),1926167,-2.82
2011,andrews,Andrews Co. (Andrews),2227113,15.62
2012,andrews,Andrews Co. (Andrews),2967163,33.23
2013,andrews,Andrews Co. (Andrews),2830637,-4.6
2014,andrews,Andrews Co. (Andrews),2716971,-4.02
2015,andrews,Andrews Co. (Andrews),2862564,5.36
2016,andrews,Andrews Co. (Andrews),2872740,0.36
2017,andrews,Andrews Co. (Andrews),2663256,-7.29
2018,andrews,Andrews Co. (Andrews),2803950,5.28
2019,andrews,Andrews Co. (Andrews),2921685,4.2
2020,andrews,Andrews Co. (Andrews),2682766,-8.18
2021,andrews,Andrews Co. (Andrews),2960028,10.33
2022,andrews,Andrews Co. (Andrews),2780286,-6.07
2023,andrews,Andrews Co. (Andrews),4453975,60.2
2024,andrews,Andrews Co. (Andrews),4737748,6.37
2001,borden,Borden Co. (Gail),151494,
2002,borden,Borden Co. (Gail),224837,48.41
2003,borden,Borden Co. (Gail),161120,-28.34
2004,borden,Borden Co. (Gail),166118,3.1
2005,borden,Borden Co. (Gail),164674,-0.87
2006,borden,Borden Co. (Gail),185739,12.79
2007,borden,Borden Co. (Gail),205296,10.53
2008,borden,Borden Co. (Gail),190072,-7.42
2009,borden,Borden Co. (Gail),243281,27.99
2010,borden,Borden Co. (Gail),226431,-6.93
2011,borden,Borden Co. (Gail),237382,4.84
2012,borden,Borden Co. (Gail),278258,17.22
2013,borden,Borden Co. (Gail),260148,-6.51
2014,borden,Borden Co. (Gail),210840,-18.95
2015,borden,Borden Co. (Gail),226042,7.21
2016,borden,Borden Co. (Gail),264401,16.97
2017,borden,Borden Co. (Gail),238571,-9.77
2018,borden,Borden Co. (Gail),287171,20.37
2019,borden,Borden Co. (Gail),446349,55.43
2020,borden,Borden Co. (Gail),436425,-2.22
2021,borden,Borden Co. (Gail),416932,-4.47
2022,borden,Borden Co. (Gail),476668,14.33
2023,borden,Borden Co. (Gail),892658,87.27
2024,borden,Borden Co. (Gail),1091478,22.27
2001,coke,Coke Co. (Robert Lee),115668,
2002,coke,Coke Co. (Robert Lee),118945,2.83
2003,coke,Coke Co. (Robert Lee),103084,-13.33
2004,coke,Coke Co. (Robert Lee),94775,-8.06
2005,coke,Coke Co. (Robert Lee),90304,-4.72
2006,coke,Coke Co. (Robert Lee),97331,7.78
2007,coke,Coke Co. (Robert Lee),100774,3.54
2008,coke,Coke Co. (Robert Lee),102854,2.06
2009,coke,Coke Co. (Robert Lee),132971,29.28
2010,coke,Coke Co. (Robert Lee),129018,-2.97
2011,coke,Coke Co. (Robert Lee),115887,-10.18
2012,coke,Coke Co. (Robert Lee),130781,12.85
2013,coke,Coke Co. (Robert Lee),132341,1.19
2014,coke,Coke Co. (Robert Lee),116352,-12.08
2015,coke,Coke Co. (Robert Lee),115793,-0.48
2016,coke,Coke Co. (Robert Lee),107370,-7.27
2017,coke,Coke Co. (Robert Lee),90796,-15.44
2018,coke,Coke Co. (Robert Lee),96546,6.33
2019,coke,Coke Co. (Robert Lee),93543,-3.11
2020,coke,Coke Co. (Robert Lee),97826,4.58
2021,coke,Coke Co. (Robert Lee),176595,80.52
2022,coke,Coke Co. (Robert Lee),190726,8
2023,coke,Coke Co. (Robert Lee),208359,9.25
2024,coke,Coke Co. (Robert Lee),246134,18.13
2001,concho,Concho Co. (Paint Rock),124209,
2002,concho,Concho Co. (Paint Rock),127560,2.7
